GEO.id,EMPSZES.id,ESTAB
8610000US01040,1,2
8610000US01040,212,0
8610000US01040,220,0
8610000US01040,230,0
8610000US01040,241,0
8610000US01040,242,0
8610000US01040,251,0
8610000US01040,252,1
8610000US01040,254,0
8610000US01040,260,1
8610000US01053,1,1
8610000US01053,212,0
8610000US01053,220,0
8610000US01053,230,0
8610000US01053,241,0
8610000US01053,242,0
8610000US01053,251,0
8610000US01053,252,0
8610000US01053,254,1
8610000US01053,260,0
8610000US01056,1,1
8610000US01056,212,0
8610000US01056,220,0
8610000US01056,230,0
8610000US01056,241,0
8610000US01056,242,0
8610000US01056,251,1
8610000US01056,252,0
8610000US01056,254,0
8610000US01056,260,0
8610000US01060,1,1
8610000US01060,212,0
8610000US01060,220,0
8610000US01060,230,0
8610000US01060,241,0
8610000US01060,242,0
8610000US01060,251,0
8610000US01060,252,0
8610000US01060,254,0
8610000US01060,260,1
8610000US01069,1,1
8610000US01069,212,0
8610000US01069,220,0
8610000US01069,230,0
8610000US01069,241,0
8610000US01069,242,0
8610000US01069,251,0
8610000US01069,252,1
8610000US01069,254,0
8610000US01069,260,0
8610000US01082,1,1
8610000US01082,212,0
8610000US01082,220,0
8610000US01082,230,0
8610000US01082,241,0
8610000US01082,242,0
8610000US01082,251,1
8610000US01082,252,0
8610000US01082,254,0
8610000US01082,260,0
8610000US01085,1,2
8610000US01085,212,0
8610000US01085,220,0
8610000US01085,230,0
8610000US01085,241,0
8610000US01085,242,0
8610000US01085,251,1
8610000US01085,252,1
8610000US01085,254,0
8610000US01085,260,0
8610000US01104,1,2
8610000US01104,212,0
8610000US01104,220,0
8610000US01104,230,0
8610000US01104,241,0
8610000US01104,242,0
8610000US01104,251,1
8610000US01104,252,0
8610000US01104,254,0
8610000US01104,260,1
8610000US01106,1,1
8610000US01106,212,1
8610000US01106,220,0
8610000US01106,230,0
8610000US01106,241,0
8610000US01106,242,0
8610000US01106,251,0
8610000US01106,252,0
8610000US01106,254,0
8610000US01106,260,0
8610000US01109,1,1
8610000US01109,212,0
8610000US01109,220,0
8610000US01109,230,0
8610000US01109,241,0
8610000US01109,242,0
8610000US01109,251,0
8610000US01109,252,1
8610000US01109,254,0
8610000US01109,260,0
8610000US01199,1,1
