GEO.id,EMPSZES.id,ESTAB
8610000US01060,220,1
8610000US01060,230,1
8610000US01060,241,4
8610000US01060,242,0
8610000US01060,251,1
8610000US01060,252,0
8610000US01060,254,0
8610000US01060,260,0
8610000US01062,1,3
8610000US01062,212,3
8610000US01062,220,0
8610000US01062,230,0
8610000US01062,241,0
8610000US01062,242,0
8610000US01062,251,0
8610000US01062,252,0
8610000US01062,254,0
8610000US01062,260,0
8610000US01063,1,1
8610000US01063,212,1
8610000US01063,220,0
8610000US01063,230,0
8610000US01063,241,0
8610000US01063,242,0
8610000US01063,251,0
8610000US01063,252,0
8610000US01063,254,0
8610000US01063,260,0
8610000US01068,1,1
8610000US01068,212,1
8610000US01068,220,0
8610000US01068,230,0
8610000US01068,241,0
8610000US01068,242,0
8610000US01068,251,0
8610000US01068,252,0
8610000US01068,254,0
8610000US01068,260,0
8610000US01069,1,5
8610000US01069,212,2
8610000US01069,220,3
8610000US01069,230,0
8610000US01069,241,0
8610000US01069,242,0
8610000US01069,251,0
8610000US01069,252,0
8610000US01069,254,0
8610000US01069,260,0
8610000US01070,1,1
8610000US01070,212,1
8610000US01070,220,0
8610000US01070,230,0
8610000US01070,241,0
8610000US01070,242,0
8610000US01070,251,0
8610000US01070,252,0
8610000US01070,254,0
8610000US01070,260,0
8610000US01072,1,2
8610000US01072,212,1
8610000US01072,220,0
8610000US01072,230,1
8610000US01072,241,0
8610000US01072,242,0
8610000US01072,251,0
8610000US01072,252,0
8610000US01072,254,0
8610000US01072,260,0
8610000US01073,1,5
8610000US01073,212,2
8610000US01073,220,3
8610000US01073,230,0
8610000US01073,241,0
8610000US01073,242,0
8610000US01073,251,0
8610000US01073,252,0
8610000US01073,254,0
8610000US01073,260,0
8610000US01075,1,4
8610000US01075,212,2
8610000US01075,220,1
8610000US01075,230,1
8610000US01075,241,0
8610000US01075,242,0
8610000US01075,251,0
8610000US01075,252,0
8610000US01075,254,0
8610000US01075,260,0
8610000US01077,1,11
8610000US01077,212,9
8610000US01077,220,1
8610000US01077,230,1
8610000US01077,241,0
8610000US01077,242,0
8610000US01077,251,0
8610000US01077,252,0
8610000US01077,254,0
8610000US01077,260,0
8610000US01082,1,3
8610000US01082,212,3
8610000US01082,220,0
8610000US01082,230,0
8610000US01082,241,0
8610000US01082,242,0
8610000US01082,251,0
8610000US01082,252,0
8610000US01082,254,0
